#  x                 y             frequency           rot. str.
0.0      -0.55337222507      21.95      -4.80
0.500062507813      -0.577223990457      26.73      -0.10
1.00012501563      -0.602508507226      41.77      -1.23
1.50018752344      -0.629335986904      51.75      2.47
2.00025003125      -0.657826623395      80.80      -3.72
2.50031253907      -0.688111571911      131.99      1.76
3.00037504688      -0.720334017754      138.47      -1.53
3.50043755469      -0.754650338686      143.78      -0.59
4.00050006251      -0.791231362735      152.69      0.94
4.50056257032      -0.830263720477      174.43      -1.77
5.00062507813      -0.871951286652      212.90      -16.89
5.50068758595      -0.916516700005      219.95      -2.57
6.00075009376      -0.964202941754      232.12      4.66
6.50081260158      -1.01527494144      248.41      -19.12
7.00087510939      -1.07002116275      268.70      8.39
7.5009376172      -1.12875510029      273.04      71.72
8.00100012502      -1.19181658877      300.07      50.69
8.50106263283      -1.25957278745      321.78      -35.78
9.00112514064      -1.33241865137      335.60      -4.79
9.50118764846      -1.4107766343      347.38      6.48
10.0012501563      -1.49509528274      362.62      -3.64
10.5013126641      -1.58584627242      398.85      4.67
11.0013751719      -1.68351930416      409.62      -7.05
11.5014376797      -1.78861411445      441.73      -2.26
12.0015001875      -1.9016286669      458.95      3.75
12.5015626953      -2.02304238187      476.82      1.09
13.0016252032      -2.15329304948      516.42      -6.21
13.501687711      -2.29274588759      527.60      5.58
14.0017502188      -2.44165310921      541.43      10.68
14.5018127266      -2.60010244065      552.19      -19.01
15.0018752344      -2.767953416      566.21      1.82
15.5019377422      -2.9447611423      590.29      -3.07
16.00200025      -3.12968879831      605.64      -2.52
16.5020627578      -3.32141261533      632.53      -0.02
17.0021252657      -3.5180266297      653.27      9.36
17.5021877735      -3.71695901813      655.51      13.69
18.0022502813      -3.91491684315      664.52      -23.08
18.5023127891      -4.10788044762      668.78      0.50
19.0023752969      -4.29117072322      706.94      -4.09
19.5024378047      -4.45960968702      734.44      4.43
20.0025003125      -4.60778502405      764.66      -53.05
20.5025628204      -4.73041165309      784.60      15.14
21.0026253282      -4.82275990029      797.14      1.00
21.502687836      -4.8810960634      810.54      -32.58
22.0027503438      -4.90306527704      837.13      35.91
22.5028128516      -4.88794662084      846.91      28.97
23.0028753594      -4.83672988919      859.51      -24.89
23.5029378672      -4.75199854031      865.87      17.61
24.003000375      -4.63764349381      882.59      -7.54
24.5030628829      -4.4984647445      883.87      58.92
25.0031253907      -4.3397328043      900.98      -45.65
25.5031878985      -4.16677762544      936.93      -21.55
26.0032504063      -3.98465378578      941.32      -0.72
26.5033129141      -3.79790584994      947.35      -4.85
27.0033754219      -3.61043500083      961.12      -4.12
27.5034379297      -3.42545218639      985.71      5.85
28.0035004376      -3.24549540983      988.92      2.97
28.5035629454      -3.07248800767      993.43      0.26
29.0036254532      -2.90781822536      1016.10      25.93
29.503687961      -2.75242558581      1026.14      10.65
30.0037504688      -2.60688464438      1045.61      -36.20
30.5038129766      -2.47148080285      1056.24      -2.31
31.0038754844      -2.34627567631      1060.81      21.43
31.5039379922      -2.23116123285      1067.07      17.53
32.0040005001      -2.12590286279      1075.57      78.67
32.5040630079      -2.03017197067      1103.16      10.43
33.0041255157      -1.94356883402      1116.80      8.44
33.5041880235      -1.86563647851      1125.57      -7.61
34.0042505313      -1.79586626664      1154.88      -8.97
34.5043130391      -1.73369585492      1159.93      -6.61
35.0043755469      -1.67850020205      1172.10      -2.58
35.5044380548      -1.62957647205      1176.46      -2.45
36.0045005626      -1.58612404048      1207.68      12.74
36.5045630704      -1.54722143597      1220.96      55.59
37.0046255782      -1.51180296004      1234.16      10.66
37.504688086      -1.47863887662      1238.71      -67.18
38.0047505938      -1.44632427414      1253.28      -1.72
38.5048131016      -1.41328262906      1262.12      23.12
39.0048756095      -1.37779021251      1271.74      -2.73
39.5049381173      -1.33802616379      1276.20      -3.52
40.0050006251      -1.29214982452      1289.26      -4.07
40.5050631329      -1.23840179165      1291.03      -9.49
41.0051256407      -1.17521893347      1327.38      -22.65
41.5051881485      -1.10134804991      1333.03      0.56
42.0052506563      -1.01594014645      1340.19      -20.88
42.5053131641      -0.91860917849      1344.74      -4.50
43.005375672      -0.809445869469      1349.25      -22.17
43.5054381798      -0.68898711268      1355.25      9.33
44.0055006876      -0.558151413565      1357.42      -2.78
44.5055631954      -0.418157632115      1371.33      12.73
45.0056257032      -0.270446079741      1382.34      -8.05
45.505688211      -0.116617872818      1386.27      7.47
46.0057507188      0.0415980767211      1391.18      -1.54
46.5058132267      0.2023488396      1403.58      5.29
47.0058757345      0.363637735487      1418.69      1.97
47.5059382423      0.523292651849      1433.30      -15.95
48.0060007501      0.678937944095      1467.55      33.53
48.5060632579      0.827987274566      1477.34      -1.46
49.0061257657      0.967673985891      1491.88      2.85
49.5061882735      1.09513154776      1493.14      -8.28
50.0062507813      1.20752868584      1499.32      10.75
50.5063132892      1.30225225156      1501.18      -6.71
51.006375797      1.37711752211      1502.68      3.10
51.5064383048      1.43057395165      1507.66      23.90
52.0065008126      1.46186880726      1512.95      -3.33
52.5065633204      1.47113499382      1544.82      -12.34
53.0066258282      1.45938303657      1609.07      16.29
53.506688336      1.42839708556      1631.72      -3.00
