#  x                 y             frequency           intensity
0.0       7.58399372164e-40       106.54       0.24673
0.500062507813       1.74011123043e-39       207.84       0.84909
1.00012501563       3.9770327561e-39       247.33       8.42742
1.50018752344       9.05408232545e-39       261.04       4.46811
2.00025003125       2.05320741074e-38       296.56       100.87417
2.50031253907       4.6379313945e-38       399.71       5.78495
3.00037504688       1.04356361894e-37       428.36       3.11119
3.50043755469       2.33892692397e-37       499.10       9.07590
4.00050006251       5.2217669985e-37       783.23       2.74710
4.50056257032       1.16123853222e-36       830.84       2.13166
5.00062507813       2.57234076431e-36       926.26       17.22742
5.50068758595       5.67595149004e-36       976.94       5.41551
6.00075009376       1.24753277166e-35       998.56       39.95602
6.50081260158       2.73129345441e-35       1046.54       13.45337
7.00087510939       5.95645517435e-35       1103.48       5.06961
7.5009376172       1.29392917332e-34       1142.39       36.85618
8.00100012502       2.7998595391e-34       1192.51       12.54171
8.50106263283       6.03483078966e-34       1270.77       56.30210
9.00112514064       1.29567793606e-33       1295.94       5.15003
9.50118764846       2.77097203028e-33       1339.28       1.82328
10.0012501563       5.90296670883e-33       1388.56       4.97843
10.5013126641       1.25259778306e-32       1400.05       5.30036
11.0013751719       2.64762245947e-32       1416.93       6.29432
11.5014376797       5.5744700603e-32       1439.21       23.85622
12.0015001875       1.1691069197e-31       1483.99       0.98282
12.5015626953       2.44235049087e-31       1487.77       5.38448
13.0016252032       5.08235336685e-31       1498.77       6.85333
13.501687711       1.05347647083e-30       1504.46       5.66899
14.0017502188       2.17514361055e-30       1508.95       5.54495
14.5018127266       4.47356904418e-30       2949.92       50.24708
15.0018752344       9.16481000798e-30       3000.66       40.74150
15.5019377422       1.87023379693e-29       3029.42       21.85386
16.00200025       3.80164402616e-29       3038.49       11.62974
16.5020627578       7.69750729385e-29       3045.85       23.87646
17.0021252657       1.55250097894e-28       3088.40       40.00960
17.5021877735       3.11901001514e-28       3097.68       37.65582
18.0022502813       6.24172698893e-28       3104.13       31.67701
18.5023127891       1.2442162852e-27       3114.86       21.12208
19.0023752969       2.47052985769e-27       3793.12       14.97118
19.5024378047       4.8863823364e-27
20.0025003125       9.62693184024e-27
20.5025628204       1.88925883335e-26
21.0026253282       3.69316013437e-26
21.502687836       7.1913086565e-26
22.0027503438       1.39482856515e-25
22.5028128516       2.69486397813e-25
23.0028753594       5.18628022315e-25
23.5029378672       9.94210215291e-25
24.003000375       1.89846929083e-24
24.5030628829       3.61103788531e-24
25.0031253907       6.84169368636e-24
25.5031878985       1.29121428042e-23
26.0032504063       2.42737082564e-23
26.5033129141       4.54545170932e-23
27.0033754219       8.47854015766e-23
27.5034379297       1.57531797235e-22
28.0035004376       2.91553652859e-22
28.5035629454       5.37491820138e-22
29.0036254532       9.87025435521e-22
29.503687961       1.80546029799e-21
30.0037504688       3.28965727173e-21
30.5038129766       5.9705793992e-21
31.0038754844       1.0794074602e-20
31.5039379922       1.94382635208e-20
32.0040005001       3.48684489095e-20
32.5040630079       6.23032791033e-20
33.0041255157       1.10889977119e-19
33.5041880235       1.96596959075e-19
34.0042505313       3.47187764151e-19
34.5043130391       6.10738276415e-19
35.0043755469       1.07016065572e-18
35.5044380548       1.86786693465e-18
36.0045005626       3.24747638181e-18
36.5045630704       5.62405010565e-18
37.0046255782       9.70187051867e-18
37.504688086       1.66711239386e-17
38.0047505938       2.85349686119e-17
38.5048131016       4.86511411139e-17
39.0048756095       8.2625057751e-17
39.5049381173       1.39776330197e-16
40.0050006251       2.35536710201e-16
40.5050631329       3.95354502153e-16
41.0051256407       6.61025001193e-16
41.5051881485       1.1009109604e-15
42.0052506563       1.82637358932e-15
42.5053131641       3.01807587722e-15
43.005375672       4.96791095526e-15
43.5054381798       8.14555282997e-15
44.0055006876       1.33036386301e-14
44.5055631954       2.16432974088e-14
45.0056257032       3.50735340451e-14
45.505688211       5.66159425332e-14
46.0057507188       9.10334639376e-14
46.5058132267       1.45803016185e-13
47.0058757345       2.32613577648e-13
47.5059382423       3.69663632304e-13
48.0060007501       5.85169261945e-13
48.5060632579       9.22697612496e-13
49.0061257657       1.44924029748e-12
49.5061882735       2.26738108381e-12
50.0062507813       3.53355413902e-12
50.5063132892       5.48532157843e-12
51.006375797       8.48194691092e-12
51.5064383048       1.30644797304e-11
52.0065008126       2.00443418986e-11
52.5065633204       3.06333573719e-11
53.0066258282       4.66337678051e-11
53.506688336       7.07146713752e-11
54.0067508439       1.06812397164e-10
54.5068133517       1.60707782799e-10
55.0068758595       2.40854780061e-10
55.5069383673       3.59564447205e-10
56.0070008751       5.34689098635e-10
56.5070633829       7.92007016524e-10
57.0071258907       1.16858374635e-09
57.5071883985       1.71748821949e-09
58.0072509064       2.5143793728e-09
58.5073134142       3.66666266568e-09
59.007375922       5.32616014949e-09
59.5074384298       7.70656060668e-09
60.0075009376       1.11073405749e-08
60.5075634454       1.59464013954e-08
61.0076259532       2.28043872869e-08
61.5076884611       3.24845785948e-08
62.0077509689       4.60934461908e-08
62.5078134767       6.51484720817e-08
63.0078759845       9.1721764929e-08
63.5079384923       1.28630418941e-07
64.0080010001       1.79687587678e-07
64.5080635079       2.50031994607e-07
65.0081260158       3.4655822101e-07
65.5081885236       4.78475757553e-07
66.0082510314       6.58031653053e-07
66.5083135392       9.01439831073e-07
67.008376047       1.23006996975e-06
67.5084385548       1.67196045394e-06
68.0085010626       2.26373350673e-06
68.5085635704       3.053006368e-06
69.0086260783       4.10141045522e-06
69.5086885861       5.4883509101e-06
70.0087510939       7.31566181954e-06
70.5088136017       9.71333761497e-06
